Joint Base McGuire USAF Units,Impact
87th Communication Squadron, 
87th Logistics Readiness Squadron, 
87th Force Support Squadron, 
87th Contracting Squadron, 
87th Security Forces Squadron, 
87th Medical Operations Squadron, 
87th Medical Support Squadron, 
87th Operational Medical Readiness Squadron, 
87th Civil Engineering Squadron, 
787th Civil Engineering Squadron, 
6th Airlift Squadron, 
2d Air Refueling Squadron, 
32d Air Refueling Squadron, 
305th Operational Support Squadron, 
305th Maintenace Operations Squadron, 
305th Maintenance Squadron, 
305th Aircraft Maintenace Squadron, 
605th Aircraft Maintenace Squadron, 
305th Aerial Port Squadron, 
87th Comptroller Squadron, 
